srs,ratio,team
0.35,.549,Boston Celtics
-1.07,.524,Philadelphia 76ers
-1.82,.512,New Jersey Nets
-1.81,.402,Toronto Raptors
-2.72,.402,New York Knicks
3.31,.659,Detroit Pistons
0.65,.573,Chicago Bulls
0.49,.537,Indiana Pacers
0.27,.512,Cleveland Cavaliers
-3.09,.366,Milwaukee Bucks
5.77,.720,Miami Heat
-0.71,.549,Washington Wizards
-2.52,.439,Orlando Magic
-6.15,.220,Charlotte Bobcats
-9.62,.159,Atlanta Hawks
2.59,.634,Seattle SuperSonics
2.23,.598,Denver Nuggets
1.73,.537,Minnesota Timberwolves
-3.45,.329,Portland Trail Blazers
-3.74,.317,Utah Jazz
7.08,.756,Phoenix Suns
2.56,.610,Sacramento Kings
-0.47,.451,Los Angeles Clippers
-2.32,.415,Los Angeles Lakers
-1.74,.415,Golden State Warriors
7.84,.720,San Antonio Spurs
5.86,.707,Dallas Mavericks
4.27,.622,Houston Rockets
2.64,.549,Memphis Grizzlies
-6.30,.220,New Orleans Hornets
