srs,ratio,team
6.44,.695,Orlando Magic
2.78,.671,New York Knicks
-1.92,.427,Boston Celtics
-1.85,.390,Miami Heat
-3.28,.366,New Jersey Nets
-5.06,.293,Philadelphia 76ers
-5.56,.256,Washington Bullets
3.35,.634,Indiana Pacers
2.87,.610,Charlotte Hornets
4.32,.573,Chicago Bulls
0.55,.524,Cleveland Cavaliers
1.06,.512,Atlanta Hawks
-4.30,.415,Milwaukee Bucks
-7.08,.341,Detroit Pistons
5.90,.756,San Antonio Spurs
7.76,.732,Utah Jazz
2.32,.573,Houston Rockets
0.96,.500,Denver Nuggets
-2.39,.439,Dallas Mavericks
-8.22,.256,Minnesota Timberwolves
3.86,.720,Phoenix Suns
7.91,.695,Seattle SuperSonics
-0.01,.585,Los Angeles Lakers
3.80,.537,Portland Trail Blazers
-0.74,.476,Sacramento Kings
-4.90,.317,Golden State Warriors
-8.43,.207,Los Angeles Clippers
