srs,ratio,team
7.44,.756,Boston Celtics
0.16,.500,Philadelphia 76ers
-2.31,.415,New Jersey Nets
-2.54,.402,Toronto Raptors
-2.33,.390,New York Knicks
8.68,.805,Cleveland Cavaliers
-0.16,.500,Chicago Bulls
-0.36,.476,Detroit Pistons
-0.76,.439,Indiana Pacers
-0.88,.415,Milwaukee Bucks
6.48,.720,Orlando Magic
1.70,.573,Atlanta Hawks
0.49,.524,Miami Heat
-1.20,.427,Charlotte Bobcats
-6.98,.232,Washington Wizards
3.13,.659,Denver Nuggets
5.00,.659,Portland Trail Blazers
2.31,.585,Utah Jazz
-4.74,.293,Minnesota Timberwolves
-6.04,.280,Oklahoma City Thunder
7.11,.793,Los Angeles Lakers
1.62,.561,Phoenix Suns
-3.80,.354,Golden State Warriors
-8.47,.232,Los Angeles Clippers
-8.60,.207,Sacramento Kings
3.36,.659,San Antonio Spurs
3.73,.646,Houston Rockets
1.68,.610,Dallas Mavericks
1.41,.598,New Orleans Hornets
-5.23,.293,Memphis Grizzlies
