srs,ratio,team
3.67,.634,New Jersey Nets
1.75,.598,Boston Celtics
1.25,.537,Orlando Magic
1.27,.524,Philadelphia 76ers
-1.58,.451,Washington Wizards
-1.84,.439,Miami Heat
-4.15,.366,New York Knicks
1.69,.610,Detroit Pistons
0.57,.537,Charlotte Hornets
-0.71,.512,Toronto Raptors
-0.07,.512,Indiana Pacers
-0.62,.500,Milwaukee Bucks
-4.41,.402,Atlanta Hawks
-3.52,.354,Cleveland Cavaliers
-8.52,.256,Chicago Bulls
6.28,.707,San Antonio Spurs
4.41,.695,Dallas Mavericks
3.58,.610,Minnesota Timberwolves
1.21,.537,Utah Jazz
-4.31,.341,Houston Rockets
-5.19,.329,Denver Nuggets
-6.74,.280,Memphis Grizzlies
7.61,.744,Sacramento Kings
7.15,.707,Los Angeles Lakers
3.21,.598,Portland Trail Blazers
3.24,.549,Seattle SuperSonics
-0.09,.476,Los Angeles Clippers
-0.30,.439,Phoenix Suns
-4.80,.256,Golden State Warriors
