srs,ratio,team
6.57,.720,Boston Celtics
0.11,.549,Philadelphia 76ers
-1.02,.512,Washington Bullets
-4.42,.293,New Jersey Nets
-5.42,.293,New York Knicks
7.18,.695,Atlanta Hawks
3.51,.634,Detroit Pistons
4.04,.610,Milwaukee Bucks
-0.17,.500,Indiana Pacers
1.26,.488,Chicago Bulls
-3.19,.378,Cleveland Cavaliers
5.54,.671,Dallas Mavericks
0.04,.537,Utah Jazz
0.60,.512,Houston Rockets
-1.14,.451,Denver Nuggets
-3.34,.354,Sacramento Kings
-5.09,.341,San Antonio Spurs
8.32,.793,Los Angeles Lakers
2.57,.598,Portland Trail Blazers
-2.54,.512,Golden State Warriors
0.08,.476,Seattle SuperSonics
-2.63,.439,Phoenix Suns
-11.00,.146,Los Angeles Clippers
