srs,ratio,team
1.11,.598,New Jersey Nets
-2.10,.463,Philadelphia 76ers
-1.59,.402,Boston Celtics
-3.03,.329,Toronto Raptors
-6.30,.280,New York Knicks
6.24,.780,Detroit Pistons
2.17,.610,Cleveland Cavaliers
1.62,.500,Indiana Pacers
0.51,.500,Chicago Bulls
-1.07,.488,Milwaukee Bucks
3.59,.634,Miami Heat
1.57,.512,Washington Wizards
-1.26,.439,Orlando Magic
-3.90,.317,Charlotte Bobcats
-4.69,.317,Atlanta Hawks
0.36,.537,Denver Nuggets
-2.49,.500,Utah Jazz
-2.88,.427,Seattle SuperSonics
-1.75,.402,Minnesota Timberwolves
-8.91,.256,Portland Trail Blazers
5.48,.659,Phoenix Suns
1.75,.573,Los Angeles Clippers
2.53,.549,Los Angeles Lakers
1.61,.537,Sacramento Kings
-1.11,.415,Golden State Warriors
6.69,.768,San Antonio Spurs
5.96,.732,Dallas Mavericks
3.74,.598,Memphis Grizzlies
-2.51,.463,New Orleans/Oklahoma City Hornets
-1.30,.415,Houston Rockets
