srs,ratio,team
3.73,.659,New York Knicks
1.25,.598,Brooklyn Nets
-0.62,.506,Boston Celtics
-3.51,.415,Philadelphia 76ers
-1.96,.415,Toronto Raptors
3.34,.605,Indiana Pacers
-0.02,.549,Chicago Bulls
-1.83,.463,Milwaukee Bucks
-4.33,.354,Detroit Pistons
-4.87,.293,Cleveland Cavaliers
7.03,.805,Miami Heat
-0.08,.537,Atlanta Hawks
-2.78,.354,Washington Wizards
-9.29,.256,Charlotte Bobcats
-7.12,.244,Orlando Magic
9.15,.732,Oklahoma City Thunder
5.37,.695,Denver Nuggets
0.30,.524,Utah Jazz
-2.53,.402,Portland Trail Blazers
-1.83,.378,Minnesota Timberwolves
6.43,.683,Los Angeles Clippers
1.32,.573,Golden State Warriors
1.48,.549,Los Angeles Lakers
-4.26,.341,Sacramento Kings
-5.75,.305,Phoenix Suns
6.67,.707,San Antonio Spurs
4.32,.683,Memphis Grizzlies
3.69,.549,Houston Rockets
-0.24,.500,Dallas Mavericks
-3.12,.329,New Orleans Hornets
