srs,ratio,team
6.05,.756,Boston Celtics
7.76,.756,Philadelphia 76ers
2.00,.610,New York Knicks
0.42,.476,Washington Bullets
-5.15,.293,New Jersey Nets
7.14,.732,Milwaukee Bucks
2.34,.549,Chicago Bulls
1.72,.537,Indiana Pacers
-2.37,.378,Atlanta Hawks
-4.15,.341,Cleveland Cavaliers
-5.58,.256,Detroit Pistons
2.18,.634,San Antonio Spurs
-0.49,.488,Kansas City Kings
-0.20,.488,Houston Rockets
-0.95,.451,Denver Nuggets
-5.99,.341,Utah Jazz
-8.33,.183,Dallas Mavericks
4.83,.695,Phoenix Suns
3.27,.659,Los Angeles Lakers
0.52,.549,Portland Trail Blazers
-1.41,.476,Golden State Warriors
-1.78,.439,San Diego Clippers
-1.84,.415,Seattle SuperSonics
