srs,ratio,team
9.30,.805,Boston Celtics
2.47,.500,Toronto Raptors
0.19,.488,Philadelphia 76ers
-5.15,.415,New Jersey Nets
-6.55,.280,New York Knicks
6.67,.720,Detroit Pistons
-0.53,.549,Cleveland Cavaliers
-1.87,.439,Indiana Pacers
-3.19,.402,Chicago Bulls
-6.92,.317,Milwaukee Bucks
4.79,.634,Orlando Magic
-0.61,.524,Washington Wizards
-2.23,.451,Atlanta Hawks
-4.49,.390,Charlotte Bobcats
-8.53,.183,Miami Heat
6.86,.659,Utah Jazz
3.74,.610,Denver Nuggets
-0.52,.500,Portland Trail Blazers
-6.26,.268,Minnesota Timberwolves
-8.04,.244,Seattle SuperSonics
7.34,.695,Los Angeles Lakers
5.14,.671,Phoenix Suns
2.38,.585,Golden State Warriors
-1.86,.463,Sacramento Kings
-6.56,.280,Los Angeles Clippers
5.46,.683,New Orleans Hornets
5.10,.683,San Antonio Spurs
4.83,.671,Houston Rockets
4.70,.622,Dallas Mavericks
-5.76,.268,Memphis Grizzlies
