srs,ratio,team
7.53,.793,Philadelphia 76ers
5.34,.683,Boston Celtics
2.77,.598,New Jersey Nets
2.58,.537,New York Knicks
0.20,.512,Washington Bullets
4.32,.622,Milwaukee Bucks
-0.72,.524,Atlanta Hawks
-0.17,.451,Detroit Pistons
-4.41,.341,Chicago Bulls
-6.78,.280,Cleveland Cavaliers
-5.36,.244,Indiana Pacers
3.10,.646,San Antonio Spurs
0.27,.549,Denver Nuggets
1.04,.549,Kansas City Kings
-0.70,.463,Dallas Mavericks
-4.22,.366,Utah Jazz
-11.12,.171,Houston Rockets
5.06,.707,Los Angeles Lakers
4.61,.646,Phoenix Suns
2.88,.585,Seattle SuperSonics
1.88,.561,Portland Trail Blazers
-3.48,.366,Golden State Warriors
-4.61,.305,San Diego Clippers
