srs,ratio,team
3.41,.622,Boston Celtics
3.67,.622,New York Knicks
-1.54,.488,New Jersey Nets
-3.94,.463,Miami Heat
-1.34,.427,Philadelphia 76ers
-4.35,.305,Washington Bullets
-6.52,.256,Orlando Magic
10.07,.817,Chicago Bulls
5.34,.695,Cleveland Cavaliers
2.06,.585,Detroit Pistons
1.85,.488,Indiana Pacers
-1.15,.463,Atlanta Hawks
-1.46,.378,Milwaukee Bucks
-3.57,.378,Charlotte Hornets
5.70,.671,Utah Jazz
2.81,.573,San Antonio Spurs
-1.94,.512,Houston Rockets
-7.59,.293,Denver Nuggets
-7.47,.268,Dallas Mavericks
-6.85,.183,Minnesota Timberwolves
6.94,.695,Portland Trail Blazers
3.77,.671,Golden State Warriors
5.68,.646,Phoenix Suns
1.86,.573,Seattle SuperSonics
1.10,.549,Los Angeles Clippers
-0.95,.524,Los Angeles Lakers
-5.63,.354,Sacramento Kings
