srs,ratio,team
5.09,.671,Miami Heat
2.74,.524,New York Knicks
1.88,.524,New Jersey Nets
1.11,.512,Washington Wizards
-0.53,.500,Orlando Magic
-1.96,.439,Boston Celtics
-1.89,.378,Philadelphia 76ers
7.24,.756,Chicago Bulls
6.25,.707,Indiana Pacers
2.45,.622,Charlotte Hornets
3.85,.610,Atlanta Hawks
3.06,.573,Cleveland Cavaliers
1.95,.451,Detroit Pistons
-1.33,.439,Milwaukee Bucks
-8.33,.195,Toronto Raptors
5.73,.756,Utah Jazz
3.30,.683,San Antonio Spurs
0.17,.549,Minnesota Timberwolves
-1.23,.500,Houston Rockets
-6.33,.244,Dallas Mavericks
-7.47,.232,Vancouver Grizzlies
-11.74,.134,Denver Nuggets
6.33,.744,Seattle SuperSonics
6.88,.744,Los Angeles Lakers
4.44,.683,Phoenix Suns
0.83,.561,Portland Trail Blazers
-5.83,.329,Sacramento Kings
-9.20,.232,Golden State Warriors
-7.53,.207,Los Angeles Clippers
