srs,ratio,team
6.35,.768,Boston Celtics
5.74,.707,Philadelphia 76ers
0.87,.537,New Jersey Nets
1.06,.524,Washington Bullets
-2.15,.402,New York Knicks
5.38,.671,Milwaukee Bucks
0.81,.512,Atlanta Hawks
-0.63,.476,Detroit Pistons
-1.49,.427,Indiana Pacers
-1.57,.415,Chicago Bulls
-7.77,.183,Cleveland Cavaliers
1.79,.585,San Antonio Spurs
0.13,.561,Denver Nuggets
-0.39,.561,Houston Rockets
-3.25,.366,Kansas City Kings
-4.48,.341,Dallas Mavericks
-5.63,.305,Utah Jazz
4.37,.695,Los Angeles Lakers
3.69,.634,Seattle SuperSonics
3.05,.561,Phoenix Suns
0.80,.549,Golden State Warriors
0.39,.512,Portland Trail Blazers
-7.05,.207,San Diego Clippers
