srs,ratio,team
4.23,.646,Philadelphia 76ers
3.23,.634,Boston Celtics
0.78,.549,New York Knicks
-2.43,.378,Washington Bullets
-9.59,.220,Miami Heat
-7.82,.207,New Jersey Nets
5.41,.720,Detroit Pistons
2.74,.671,Chicago Bulls
-1.06,.537,Milwaukee Bucks
-0.62,.512,Cleveland Cavaliers
-0.18,.512,Indiana Pacers
0.64,.500,Atlanta Hawks
-8.73,.220,Orlando Magic
3.58,.683,San Antonio Spurs
4.82,.671,Utah Jazz
0.42,.573,Dallas Mavericks
1.56,.524,Denver Nuggets
1.71,.500,Houston Rockets
-3.60,.268,Minnesota Timberwolves
-7.00,.232,Charlotte Hornets
6.74,.768,Los Angeles Lakers
6.48,.720,Portland Trail Blazers
7.09,.659,Phoenix Suns
1.40,.500,Seattle SuperSonics
-2.55,.451,Golden State Warriors
-2.80,.366,Los Angeles Clippers
-4.41,.280,Sacramento Kings
