srs,ratio,team
5.11,.660,Miami Heat
3.11,.660,Orlando Magic
2.56,.560,Philadelphia 76ers
1.45,.540,New York Knicks
-1.75,.380,Boston Celtics
-1.75,.360,Washington Wizards
-3.20,.320,New Jersey Nets
3.86,.660,Indiana Pacers
2.82,.620,Atlanta Hawks
3.97,.580,Detroit Pistons
1.66,.560,Milwaukee Bucks
0.63,.520,Charlotte Hornets
-1.32,.460,Toronto Raptors
-0.94,.440,Cleveland Cavaliers
-8.58,.260,Chicago Bulls
7.12,.740,San Antonio Spurs
5.54,.740,Utah Jazz
1.39,.620,Houston Rockets
-0.17,.500,Minnesota Timberwolves
-2.50,.380,Dallas Mavericks
-6.67,.280,Denver Nuggets
-8.94,.160,Vancouver Grizzlies
5.67,.700,Portland Trail Blazers
2.68,.620,Los Angeles Lakers
2.15,.540,Phoenix Suns
-0.89,.540,Sacramento Kings
-1.43,.500,Seattle SuperSonics
-2.63,.420,Golden State Warriors
-8.94,.180,Los Angeles Clippers
