srs,ratio,team
5.40,.732,Orlando Magic
2.24,.573,New York Knicks
1.46,.512,Miami Heat
0.99,.476,Washington Bullets
-3.37,.402,Boston Celtics
-4.14,.366,New Jersey Nets
-9.45,.220,Philadelphia 76ers
11.80,.878,Chicago Bulls
3.11,.634,Indiana Pacers
2.49,.573,Cleveland Cavaliers
1.29,.561,Atlanta Hawks
2.45,.561,Detroit Pistons
-0.48,.500,Charlotte Hornets
-4.92,.305,Milwaukee Bucks
-7.20,.256,Toronto Raptors
5.98,.720,San Antonio Spurs
6.25,.671,Utah Jazz
1.63,.585,Houston Rockets
-2.62,.427,Denver Nuggets
-5.14,.317,Minnesota Timberwolves
-4.71,.317,Dallas Mavericks
-9.55,.183,Vancouver Grizzlies
7.40,.780,Seattle SuperSonics
4.21,.646,Los Angeles Lakers
2.21,.537,Portland Trail Blazers
0.28,.500,Phoenix Suns
-2.62,.476,Sacramento Kings
-1.42,.439,Golden State Warriors
-3.46,.354,Los Angeles Clippers
