srs,ratio,team
3.62,.634,New York Knicks
1.68,.561,Philadelphia 76ers
1.26,.512,Boston Celtics
-1.77,.488,Washington Bullets
-5.69,.317,New Jersey Nets
-7.74,.244,Charlotte Hornets
6.24,.768,Detroit Pistons
7.95,.695,Cleveland Cavaliers
5.26,.634,Atlanta Hawks
4.11,.598,Milwaukee Bucks
2.13,.573,Chicago Bulls
-3.00,.341,Indiana Pacers
4.01,.622,Utah Jazz
0.22,.549,Houston Rockets
0.91,.537,Denver Nuggets
-1.79,.463,Dallas Mavericks
-7.45,.256,San Antonio Spurs
-11.13,.183,Miami Heat
6.38,.695,Los Angeles Lakers
6.84,.671,Phoenix Suns
2.44,.573,Seattle SuperSonics
-0.59,.524,Golden State Warriors
0.92,.476,Portland Trail Blazers
-5.35,.329,Sacramento Kings
-9.50,.256,Los Angeles Clippers
