srs,ratio,team
3.37,.610,Boston Celtics
-1.83,.488,Toronto Raptors
-4.01,.354,New York Knicks
-3.93,.329,Philadelphia 76ers
-8.93,.146,New Jersey Nets
6.17,.744,Cleveland Cavaliers
1.37,.561,Milwaukee Bucks
-1.64,.500,Chicago Bulls
-3.11,.390,Indiana Pacers
-5.02,.329,Detroit Pistons
7.12,.720,Orlando Magic
4.44,.646,Atlanta Hawks
1.99,.573,Miami Heat
1.30,.537,Charlotte Bobcats
-4.72,.317,Washington Wizards
4.15,.646,Denver Nuggets
5.33,.646,Utah Jazz
3.18,.610,Portland Trail Blazers
3.55,.610,Oklahoma City Thunder
-9.06,.183,Minnesota Timberwolves
4.78,.695,Los Angeles Lakers
4.67,.659,Phoenix Suns
-6.01,.354,Los Angeles Clippers
-3.28,.317,Golden State Warriors
-4.06,.305,Sacramento Kings
2.66,.671,Dallas Mavericks
5.07,.610,San Antonio Spurs
-0.02,.512,Houston Rockets
-1.39,.488,Memphis Grizzlies
-2.27,.451,New Orleans Hornets
