srs,ratio,team
6.42,.756,Boston Celtics
2.39,.634,Philadelphia 76ers
3.79,.573,New York Knicks
1.27,.549,New Jersey Nets
-2.36,.427,Washington Bullets
4.04,.610,Milwaukee Bucks
3.52,.598,Detroit Pistons
-1.08,.488,Atlanta Hawks
-3.71,.341,Cleveland Cavaliers
-4.69,.329,Chicago Bulls
-4.25,.317,Indiana Pacers
0.81,.549,Utah Jazz
0.15,.524,Dallas Mavericks
-1.27,.463,Denver Nuggets
-1.62,.463,Kansas City Kings
-0.50,.451,San Antonio Spurs
-3.12,.354,Houston Rockets
3.32,.659,Los Angeles Lakers
3.13,.585,Portland Trail Blazers
-0.34,.512,Seattle SuperSonics
0.65,.500,Phoenix Suns
-3.35,.451,Golden State Warriors
-3.21,.366,San Diego Clippers
