srs,ratio,team
2.75,.634,Miami Heat
1.30,.610,New York Knicks
1.02,.598,Philadelphia 76ers
0.43,.500,Orlando Magic
-1.00,.427,Boston Celtics
-1.18,.378,New Jersey Nets
-3.47,.354,Washington Wizards
4.15,.683,Indiana Pacers
2.33,.598,Charlotte Hornets
-0.46,.549,Toronto Raptors
1.13,.512,Detroit Pistons
-0.06,.512,Milwaukee Bucks
-3.64,.390,Cleveland Cavaliers
-5.41,.341,Atlanta Hawks
-9.23,.207,Chicago Bulls
4.52,.671,Utah Jazz
5.92,.646,San Antonio Spurs
2.67,.610,Minnesota Timberwolves
-0.29,.488,Dallas Mavericks
-1.76,.427,Denver Nuggets
-0.57,.415,Houston Rockets
-5.10,.268,Vancouver Grizzlies
8.41,.817,Los Angeles Lakers
6.36,.720,Portland Trail Blazers
5.24,.646,Phoenix Suns
1.17,.549,Seattle SuperSonics
3.04,.537,Sacramento Kings
-7.63,.232,Golden State Warriors
-10.73,.183,Los Angeles Clippers
