srs,ratio,team
4.42,.598,New Jersey Nets
1.76,.585,Philadelphia 76ers
-0.75,.537,Boston Celtics
-0.39,.512,Orlando Magic
-1.47,.451,Washington Wizards
-1.61,.451,New York Knicks
-5.13,.305,Miami Heat
2.97,.610,Detroit Pistons
2.79,.585,Indiana Pacers
1.52,.573,New Orleans Hornets
-0.24,.512,Milwaukee Bucks
-3.87,.427,Atlanta Hawks
-5.31,.366,Chicago Bulls
-6.10,.293,Toronto Raptors
-9.59,.207,Cleveland Cavaliers
5.65,.732,San Antonio Spurs
7.90,.732,Dallas Mavericks
2.46,.622,Minnesota Timberwolves
2.76,.573,Utah Jazz
1.89,.524,Houston Rockets
-2.60,.341,Memphis Grizzlies
-7.41,.207,Denver Nuggets
6.68,.720,Sacramento Kings
2.71,.610,Los Angeles Lakers
2.97,.610,Portland Trail Blazers
1.57,.537,Phoenix Suns
0.37,.488,Seattle SuperSonics
-0.60,.463,Golden State Warriors
-3.45,.329,Los Angeles Clippers
