srs,ratio,team
7.37,.744,Boston Celtics
4.04,.720,Philadelphia 76ers
-2.27,.476,Washington Bullets
-0.96,.476,New York Knicks
-0.98,.415,New Jersey Nets
2.83,.610,Atlanta Hawks
0.27,.500,Houston Rockets
-0.24,.500,San Antonio Spurs
-0.54,.451,Indiana Pacers
0.43,.451,Cleveland Cavaliers
-7.57,.195,Detroit Pistons
3.57,.598,Milwaukee Bucks
2.82,.573,Kansas City Kings
-4.22,.366,Denver Nuggets
-2.63,.366,Chicago Bulls
-5.71,.293,Utah Jazz
5.40,.732,Los Angeles Lakers
4.24,.683,Seattle SuperSonics
3.25,.671,Phoenix Suns
-0.87,.463,Portland Trail Blazers
-3.97,.427,San Diego Clippers
-4.20,.293,Golden State Warriors
