srs,ratio,team
3.64,.683,Philadelphia 76ers
1.73,.610,Miami Heat
1.98,.585,New York Knicks
0.39,.524,Orlando Magic
-2.40,.439,Boston Celtics
-5.30,.317,New Jersey Nets
-6.75,.232,Washington Wizards
3.14,.634,Milwaukee Bucks
1.69,.573,Toronto Raptors
1.45,.561,Charlotte Hornets
-0.77,.500,Indiana Pacers
-2.08,.390,Detroit Pistons
-4.48,.366,Cleveland Cavaliers
-5.55,.305,Atlanta Hawks
-9.09,.183,Chicago Bulls
7.92,.707,San Antonio Spurs
5.00,.646,Utah Jazz
4.61,.646,Dallas Mavericks
1.81,.573,Minnesota Timberwolves
2.71,.549,Houston Rockets
-1.83,.488,Denver Nuggets
-4.94,.280,Vancouver Grizzlies
3.74,.683,Los Angeles Lakers
6.07,.671,Sacramento Kings
2.63,.622,Phoenix Suns
4.52,.610,Portland Trail Blazers
0.55,.537,Seattle SuperSonics
-2.23,.378,Los Angeles Clippers
-8.11,.207,Golden State Warriors
