srs,ratio,team
6.47,.768,Boston Celtics
4.17,.707,Philadelphia 76ers
0.64,.512,New Jersey Nets
0.15,.488,Washington Bullets
-4.09,.293,New York Knicks
6.69,.720,Milwaukee Bucks
2.73,.561,Detroit Pistons
-0.50,.463,Chicago Bulls
-2.27,.439,Cleveland Cavaliers
-1.14,.415,Atlanta Hawks
-5.46,.268,Indiana Pacers
2.05,.634,Denver Nuggets
1.38,.585,Houston Rockets
1.80,.537,Dallas Mavericks
-0.33,.500,Utah Jazz
0.63,.500,San Antonio Spurs
-2.71,.378,Kansas City Kings
6.48,.756,Los Angeles Lakers
2.80,.512,Portland Trail Blazers
-2.34,.439,Phoenix Suns
-5.44,.378,Seattle SuperSonics
-4.55,.378,Los Angeles Clippers
-7.21,.268,Golden State Warriors
