srs,ratio,team
5.22,.683,Boston Celtics
-0.39,.537,Philadelphia 76ers
-0.43,.476,New York Knicks
-4.84,.366,Washington Bullets
-4.53,.317,New Jersey Nets
-5.91,.293,Miami Heat
8.57,.744,Chicago Bulls
3.08,.610,Detroit Pistons
2.33,.585,Milwaukee Bucks
0.72,.524,Atlanta Hawks
-0.37,.500,Indiana Pacers
-2.33,.402,Cleveland Cavaliers
-4.95,.317,Charlotte Hornets
4.30,.671,San Antonio Spurs
3.18,.659,Utah Jazz
3.27,.634,Houston Rockets
-3.79,.378,Orlando Magic
-3.75,.354,Minnesota Timberwolves
-4.27,.341,Dallas Mavericks
-10.31,.244,Denver Nuggets
8.47,.768,Portland Trail Blazers
6.73,.707,Los Angeles Lakers
6.49,.671,Phoenix Suns
1.72,.537,Golden State Warriors
1.31,.500,Seattle SuperSonics
-3.16,.378,Los Angeles Clippers
-6.27,.305,Sacramento Kings
