srs,ratio,team
9.06,.817,Boston Celtics
2.46,.659,Philadelphia 76ers
-1.28,.476,Washington Bullets
-1.39,.476,New Jersey Nets
-4.82,.280,New York Knicks
8.69,.695,Milwaukee Bucks
2.59,.610,Atlanta Hawks
1.44,.561,Detroit Pistons
-3.12,.366,Chicago Bulls
-2.19,.354,Cleveland Cavaliers
-2.66,.317,Indiana Pacers
2.10,.622,Houston Rockets
0.89,.573,Denver Nuggets
0.70,.537,Dallas Mavericks
-0.67,.512,Utah Jazz
-3.19,.451,Sacramento Kings
-2.06,.427,San Antonio Spurs
6.84,.756,Los Angeles Lakers
0.61,.488,Portland Trail Blazers
-3.16,.390,Phoenix Suns
-6.83,.390,Los Angeles Clippers
-0.47,.378,Seattle SuperSonics
-3.59,.366,Golden State Warriors
