srs,ratio,team
6.48,.695,New York Knicks
3.68,.610,Orlando Magic
2.11,.549,New Jersey Nets
2.40,.512,Miami Heat
-4.28,.390,Boston Celtics
-7.37,.305,Philadelphia 76ers
-7.13,.293,Washington Bullets
4.94,.695,Atlanta Hawks
2.87,.671,Chicago Bulls
3.26,.573,Indiana Pacers
3.64,.573,Cleveland Cavaliers
-0.23,.500,Charlotte Hornets
-6.24,.244,Milwaukee Bucks
-7.46,.244,Detroit Pistons
4.19,.707,Houston Rockets
5.05,.671,San Antonio Spurs
4.10,.646,Utah Jazz
1.54,.512,Denver Nuggets
-6.55,.244,Minnesota Timberwolves
-8.19,.159,Dallas Mavericks
8.68,.768,Seattle SuperSonics
4.68,.683,Phoenix Suns
1.76,.610,Golden State Warriors
2.60,.573,Portland Trail Blazers
-3.93,.402,Los Angeles Lakers
-5.32,.341,Sacramento Kings
-5.28,.329,Los Angeles Clippers
