srs,ratio,team
6.15,.695,Boston Celtics
-0.16,.463,Washington Bullets
0.14,.463,New York Knicks
-0.79,.439,Philadelphia 76ers
-6.98,.232,New Jersey Nets
5.46,.659,Detroit Pistons
3.76,.610,Chicago Bulls
4.02,.610,Atlanta Hawks
1.21,.512,Milwaukee Bucks
1.28,.512,Cleveland Cavaliers
-0.18,.463,Indiana Pacers
3.32,.659,Denver Nuggets
3.59,.646,Dallas Mavericks
2.96,.573,Utah Jazz
0.82,.561,Houston Rockets
-5.02,.378,San Antonio Spurs
-5.84,.293,Sacramento Kings
4.81,.756,Los Angeles Lakers
3.59,.646,Portland Trail Blazers
1.29,.537,Seattle SuperSonics
-4.80,.341,Phoenix Suns
-8.38,.244,Golden State Warriors
-10.24,.207,Los Angeles Clippers
