srs,ratio,team
2.26,.591,Boston Celtics
2.39,.545,New York Knicks
3.59,.530,Philadelphia 76ers
-3.67,.348,Toronto Raptors
-6.37,.333,New Jersey Nets
7.43,.758,Chicago Bulls
2.60,.636,Indiana Pacers
-0.23,.470,Milwaukee Bucks
-5.19,.379,Detroit Pistons
-7.34,.318,Cleveland Cavaliers
5.72,.697,Miami Heat
2.67,.606,Atlanta Hawks
0.46,.561,Orlando Magic
-5.14,.303,Washington Wizards
-13.96,.106,Charlotte Bobcats
6.44,.712,Oklahoma City Thunder
3.16,.576,Denver Nuggets
0.92,.545,Utah Jazz
-0.22,.424,Portland Trail Blazers
-1.83,.394,Minnesota Timberwolves
1.96,.621,Los Angeles Lakers
2.82,.606,Los Angeles Clippers
0.29,.500,Phoenix Suns
-2.79,.348,Golden State Warriors
-4.95,.333,Sacramento Kings
7.28,.758,San Antonio Spurs
2.43,.621,Memphis Grizzlies
1.78,.545,Dallas Mavericks
0.57,.515,Houston Rockets
-3.11,.318,New Orleans Hornets
