srs,ratio,team
2.55,.585,Toronto Raptors
-1.58,.537,Brooklyn Nets
-1.40,.451,New York Knicks
-4.97,.305,Boston Celtics
-10.66,.232,Philadelphia 76ers
3.63,.683,Indiana Pacers
1.20,.585,Chicago Bulls
-3.86,.402,Cleveland Cavaliers
-4.13,.354,Detroit Pistons
-8.41,.183,Milwaukee Bucks
4.15,.659,Miami Heat
0.48,.537,Washington Wizards
-0.89,.524,Charlotte Bobcats
-0.88,.463,Atlanta Hawks
-5.88,.280,Orlando Magic
6.66,.720,Oklahoma City Thunder
4.44,.659,Portland Trail Blazers
3.10,.488,Minnesota Timberwolves
-1.40,.439,Denver Nuggets
-6.27,.305,Utah Jazz
7.27,.695,Los Angeles Clippers
5.15,.622,Golden State Warriors
3.02,.585,Phoenix Suns
-2.08,.341,Sacramento Kings
-5.33,.329,Los Angeles Lakers
8.00,.756,San Antonio Spurs
5.06,.659,Houston Rockets
2.18,.610,Memphis Grizzlies
2.91,.598,Dallas Mavericks
-1.98,.415,New Orleans Pelicans
