srs,ratio,team
5.56,.744,Miami Heat
3.31,.695,New York Knicks
-0.07,.549,Orlando Magic
1.77,.537,Washington Bullets
-3.89,.317,New Jersey Nets
-5.89,.268,Philadelphia 76ers
-6.62,.183,Boston Celtics
10.70,.841,Chicago Bulls
5.52,.683,Atlanta Hawks
5.45,.659,Detroit Pistons
2.13,.659,Charlotte Hornets
2.32,.512,Cleveland Cavaliers
1.49,.476,Indiana Pacers
-1.38,.402,Milwaukee Bucks
-2.56,.366,Toronto Raptors
7.97,.780,Utah Jazz
3.85,.695,Houston Rockets
-1.82,.488,Minnesota Timberwolves
-6.47,.293,Dallas Mavericks
-6.40,.256,Denver Nuggets
-7.93,.244,San Antonio Spurs
-10.17,.171,Vancouver Grizzlies
6.91,.695,Seattle SuperSonics
3.66,.683,Los Angeles Lakers
3.56,.598,Portland Trail Blazers
0.21,.488,Phoenix Suns
-2.66,.439,Los Angeles Clippers
-3.64,.415,Sacramento Kings
-4.90,.366,Golden State Warriors
