srs,ratio,team
5.87,.732,New York Knicks
0.93,.585,Boston Celtics
1.20,.524,New Jersey Nets
1.35,.500,Orlando Magic
-0.93,.439,Miami Heat
-5.25,.317,Philadelphia 76ers
-6.49,.268,Washington Bullets
6.19,.695,Chicago Bulls
6.30,.659,Cleveland Cavaliers
-0.02,.537,Charlotte Hornets
-0.67,.524,Atlanta Hawks
1.77,.500,Indiana Pacers
-1.10,.488,Detroit Pistons
-3.26,.341,Milwaukee Bucks
3.57,.671,Houston Rockets
2.21,.598,San Antonio Spurs
1.74,.573,Utah Jazz
-2.14,.439,Denver Nuggets
-7.62,.232,Minnesota Timberwolves
-14.68,.134,Dallas Mavericks
6.27,.756,Phoenix Suns
6.66,.671,Seattle SuperSonics
2.92,.622,Portland Trail Blazers
0.33,.500,Los Angeles Clippers
-1.20,.476,Los Angeles Lakers
-0.94,.415,Golden State Warriors
-3.00,.305,Sacramento Kings
