srs,ratio,team
1.88,.573,New Jersey Nets
-0.13,.512,Miami Heat
-1.97,.476,New York Knicks
-1.99,.439,Boston Celtics
-2.95,.402,Philadelphia 76ers
-6.12,.305,Washington Wizards
-7.25,.256,Orlando Magic
4.93,.744,Indiana Pacers
5.04,.659,Detroit Pistons
-0.72,.500,New Orleans Hornets
0.42,.500,Milwaukee Bucks
-3.07,.427,Cleveland Cavaliers
-3.42,.402,Toronto Raptors
-5.00,.341,Atlanta Hawks
-6.69,.280,Chicago Bulls
5.86,.707,Minnesota Timberwolves
7.51,.695,San Antonio Spurs
4.86,.634,Dallas Mavericks
2.95,.610,Memphis Grizzlies
2.28,.549,Houston Rockets
1.65,.524,Denver Nuggets
-0.53,.512,Utah Jazz
4.35,.683,Los Angeles Lakers
5.41,.671,Sacramento Kings
-0.58,.500,Portland Trail Blazers
-0.07,.451,Golden State Warriors
0.02,.451,Seattle SuperSonics
-2.94,.354,Phoenix Suns
-3.74,.341,Los Angeles Clippers
