srs,ratio,team
0.61,.573,Toronto Raptors
-1.00,.500,New Jersey Nets
-3.26,.427,Philadelphia 76ers
-3.06,.402,New York Knicks
-3.70,.293,Boston Celtics
3.69,.646,Detroit Pistons
3.33,.610,Cleveland Cavaliers
4.52,.598,Chicago Bulls
-2.62,.427,Indiana Pacers
-4.43,.341,Milwaukee Bucks
-1.21,.537,Miami Heat
-0.80,.500,Washington Wizards
0.35,.488,Orlando Magic
-3.97,.402,Charlotte Bobcats
-4.86,.366,Atlanta Hawks
3.06,.622,Utah Jazz
1.69,.549,Denver Nuggets
-3.78,.390,Portland Trail Blazers
-3.16,.390,Minnesota Timberwolves
-2.45,.378,Seattle SuperSonics
7.28,.744,Phoenix Suns
0.24,.512,Los Angeles Lakers
0.00,.512,Golden State Warriors
-0.07,.488,Los Angeles Clippers
-1.35,.402,Sacramento Kings
7.28,.817,Dallas Mavericks
8.35,.707,San Antonio Spurs
5.04,.634,Houston Rockets
-1.19,.476,New Orleans/Oklahoma City Hornets
-4.44,.268,Memphis Grizzlies
