tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
SAS,27.8,.683,UTA,27.9,.756,-1,0
IND,19.9,.707,CHI,25.2,.756,0,0
NYK,15.8,.524,MIA,22.4,.671,0,1
POR,20.9,.561,LAL,28.8,.744,0,0
CHI,25.2,.756,UTA,27.9,.756,-1,1
LAL,28.8,.744,OKC,21.6,.744,-1,1
MIN,20.5,.549,OKC,21.6,.744,-1,0
SAS,27.8,.683,PHO,20.3,.683,-1,1
NYK,15.8,.524,IND,19.9,.707,-1,0
BRK,21.0,.524,CHI,25.2,.756,-1,0
HOU,21.6,.500,UTA,27.9,.756,-1,0
ATL,19.8,.610,CHA,0,.622,1,0
CLE,19.7,.573,IND,19.9,.707,0,0
LAL,28.8,.744,UTA,27.9,.756,1,0
CHA,0,.622,CHI,25.2,.756,-1,0
NYK,19.4,.540,MIA,24.6,.660,0,1
PHI,22.2,.560,ORL,22.2,.660,1,1
NYK,19.4,.540,ATL,18.8,.620,-1,1
LAL,30.6,.620,SAS,24.9,.740,1,0
MIN,22.4,.500,SAS,24.9,.740,0,0
SAC,19.5,.540,UTA,25.6,.740,-1,0
MIL,19.7,.560,IND,20.2,.660,-1,0
POR,20.4,.700,SAS,24.9,.740,-1,0
NYK,19.4,.540,IND,20.2,.660,-1,1
PHO,22.5,.540,POR,20.4,.700,-1,0
PHI,22.2,.560,IND,20.2,.660,1,0
HOU,23.1,.620,LAL,30.6,.620,-1,0
DET,23.9,.580,ATL,18.8,.620,1,0
NYK,19.4,.540,SAS,24.9,.740,0,0
POR,20.4,.700,UTA,25.6,.740,-1,1
NYK,19.0,.610,MIA,25.8,.634,-1,1
IND,17.7,.683,LAL,30.6,.817,0,0
OKC,23.6,.549,UTA,27.1,.671,0,0
POR,20.3,.720,LAL,30.6,.817,0,0
MIN,23.6,.610,POR,20.3,.720,0,0
SAC,23.4,.537,LAL,30.6,.817,-1,0
MIL,21.1,.512,IND,17.7,.683,0,0
NYK,19.0,.610,IND,17.7,.683,0,0
PHI,20.0,.598,CHA,0,.598,-1,1
PHO,18.4,.646,SAS,24.8,.646,0,1
TOR,23.4,.549,NYK,19.0,.610,1,0
PHI,20.0,.598,IND,17.7,.683,0,0
UTA,27.1,.671,POR,20.3,.720,-1,0
PHO,18.4,.646,LAL,30.6,.817,-1,0
DET,24.5,.512,MIA,25.8,.634,0,0
PHI,24.0,.683,LAL,30.2,.683,0,0
DAL,22.8,.646,UTA,24.7,.646,0,1
DAL,22.8,.646,SAS,23.8,.707,-1,0
TOR,25.0,.573,PHI,24.0,.683,1,0
POR,20.9,.610,LAL,30.2,.683,0,0
ORL,24.9,.524,MIL,22.9,.634,-1,0
PHO,21.0,.622,SAC,24.7,.671,-1,0
MIN,23.9,.573,SAS,23.8,.707,-1,0
LAL,30.2,.683,SAS,23.8,.707,0,1
CHA,0,.561,MIL,22.9,.634,1,0
CHA,0,.561,MIA,18.8,.610,0,1
IND,17.8,.500,PHI,24.0,.683,-1,0
TOR,25.0,.573,NYK,20.9,.585,1,1
SAC,24.7,.671,LAL,30.2,.683,-1,0
MIL,22.9,.634,PHI,24.0,.683,0,0
BOS,22.3,.598,DET,20.0,.610,0,1
LAL,29.7,.707,SAC,24.4,.744,1,1
TOR,20.5,.512,DET,20.0,.610,-1,0
OKC,22.9,.549,SAS,27.0,.707,0,0
POR,19.3,.598,LAL,29.7,.707,0,0
PHI,21.9,.524,BOS,22.3,.598,1,0
BRK,19.1,.634,LAL,29.7,.707,0,0
UTA,21.9,.537,SAC,24.4,.744,-1,0
DAL,24.1,.695,SAC,24.4,.744,1,0
BOS,22.3,.598,BRK,19.1,.634,1,0
CHA,0,.537,BRK,19.1,.634,-1,0
SAS,27.0,.707,LAL,29.7,.707,-1,0
MIN,23.8,.610,DAL,24.1,.695,0,0
ORL,25.1,.537,CHA,0,.537,-1,0
IND,18.1,.512,BRK,19.1,.634,-1,0
DAL,25.6,.732,SAS,26.9,.732,0,0
BRK,22.2,.598,DET,20.4,.610,-1,1
ORL,30.3,.512,DET,20.4,.610,-1,0
BRK,22.2,.598,SAS,26.9,.732,0,0
LAL,29.5,.610,SAS,26.9,.732,-1,0
LAL,29.5,.610,MIN,26.4,.622,0,1
UTA,21.7,.573,SAC,20.9,.720,-1,0
NOP,18.0,.573,PHI,21.2,.585,1,0
MIL,22.3,.512,BRK,22.2,.598,0,0
SAC,20.9,.720,DAL,25.6,.732,1,0
BOS,22.7,.537,BRK,22.2,.598,-1,0
PHI,21.2,.585,DET,20.4,.610,0,0
PHO,21.3,.537,SAS,26.9,.732,1,0
BOS,22.7,.537,IND,21.4,.585,0,1
POR,20.5,.610,DAL,25.6,.732,0,0
BRK,19.7,.573,DET,18.6,.659,-1,0
MEM,21.7,.610,SAS,27.1,.695,1,0
DET,18.6,.659,LAL,24.4,.683,1,1
MIA,18.5,.512,IND,21.1,.744,-1,0
MIL,19.9,.500,DET,18.6,.659,0,0
LAL,24.4,.683,SAS,27.1,.695,-1,1
NYK,20.9,.476,BRK,19.7,.573,-1,0
NOP,20.7,.500,MIA,18.5,.512,-1,0
HOU,21.9,.549,LAL,24.4,.683,0,0
DAL,22.5,.634,SAC,21.8,.671,1,0
DEN,18.8,.524,MIN,29.4,.707,0,0
LAL,24.4,.683,MIN,29.4,.707,1,1
SAC,21.8,.671,MIN,29.4,.707,-1,0
BOS,19.4,.439,IND,21.1,.744,-1,0
DET,18.6,.659,IND,21.1,.744,0,1
HOU,23.2,.622,DAL,26.1,.707,0,0
DEN,18.0,.598,SAS,27.0,.720,0,0
DET,19.0,.659,MIA,27.0,.720,1,1
OKC,20.9,.634,SAS,27.0,.720,0,0
IND,22.9,.537,DET,19.0,.659,0,0
WAS,21.6,.549,CHI,16.4,.573,1,1
WAS,21.6,.549,MIA,27.0,.720,-1,0
SAS,27.0,.720,PHO,26.6,.756,1,1
PHI,23.2,.524,DET,19.0,.659,-1,0
DET,19.0,.659,SAS,27.0,.720,0,0
BRK,24.5,.512,MIA,27.0,.720,-1,0
DAL,26.1,.707,PHO,26.6,.756,-1,0
IND,22.9,.537,BOS,21.8,.549,1,1
MEM,22.5,.549,PHO,26.6,.756,0,0
SAC,20.9,.610,OKC,20.9,.634,-1,0
DAL,20.4,.732,SAS,16.4,.768,0,1
SAC,26.8,.537,SAS,16.4,.768,-1,0
PHO,19.5,.659,DAL,20.4,.732,0,0
MIA,17.5,.634,DET,23.4,.780,-1,1
WAS,23.8,.512,CLE,19.8,.610,1,0
CHI,23.1,.500,MIA,17.5,.634,-1,0
BRK,21.6,.598,MIA,17.5,.634,1,0
DEN,23.3,.537,LAC,26.5,.573,-1,0
MEM,25.6,.598,DAL,20.4,.732,-1,0
LAL,28.0,.549,PHO,19.5,.659,-1,0
LAC,26.5,.573,PHO,19.5,.659,0,0
MIA,17.5,.634,DAL,20.4,.732,-1,1
MIL,16.4,.488,DET,23.4,.780,-1,0
CLE,19.8,.610,DET,23.4,.780,-1,0
IND,24.4,.500,BRK,21.6,.598,1,0
UTA,24.1,.622,SAS,26.1,.707,0,0
GSW,21.0,.512,UTA,24.1,.622,0,0
ORL,21.1,.488,DET,21.3,.646,-1,0
LAL,26.1,.512,PHO,23.8,.744,-1,0
WAS,24.0,.500,CLE,24.5,.610,-1,0
SAS,26.1,.707,PHO,23.8,.744,1,1
MIA,28.9,.537,CHI,18.7,.598,-1,0
DEN,22.1,.549,SAS,26.1,.707,-1,0
BRK,21.8,.500,CLE,24.5,.610,-1,0
UTA,24.1,.622,HOU,26.5,.634,1,1
BRK,21.8,.500,TOR,22.6,.573,0,1
CLE,24.5,.610,SAS,26.1,.707,1,0
CLE,24.5,.610,DET,21.3,.646,-1,1
CHI,18.7,.598,DET,21.3,.646,1,0
GSW,21.0,.512,DAL,27.6,.817,1,1
ATL,17.8,.451,BOS,25.3,.805,-1,0
ORL,22.9,.634,DET,23.6,.720,0,0
SAS,24.4,.683,NOP,17.5,.683,0,1
UTA,22.5,.659,LAL,24.2,.695,-1,0
DAL,18.4,.622,NOP,17.5,.683,0,0
WAS,20.7,.524,CLE,29.1,.549,0,0
TOR,23.8,.500,ORL,22.9,.634,-1,0
LAL,24.2,.695,BOS,25.3,.805,-1,0
CLE,29.1,.549,BOS,25.3,.805,0,0
UTA,22.5,.659,HOU,15.1,.671,1,1
DET,23.6,.720,BOS,25.3,.805,-1,0
PHO,17.1,.671,SAS,24.4,.683,1,0
SAS,24.4,.683,LAL,24.2,.695,0,0
DEN,21.1,.610,LAL,24.2,.695,-1,0
PHI,19.0,.488,DET,23.6,.720,0,0
ORL,25.4,.720,LAL,24.4,.793,1,0
DAL,23.1,.610,SAS,24.4,.659,0,1
PHI,18.6,.500,ORL,25.4,.720,-1,0
UTA,21.1,.585,LAL,24.4,.793,-1,0
DAL,23.1,.610,DEN,19.0,.659,-1,0
MIA,30.4,.524,ATL,18.2,.573,-1,0
NOP,30.0,.598,DEN,19.0,.659,0,0
HOU,22.7,.646,LAL,24.4,.793,-1,0
CHI,17.0,.500,BOS,21.2,.756,-1,0
HOU,22.7,.646,POR,24.0,.659,1,1
ORL,25.4,.720,CLE,31.7,.805,1,1
ORL,25.4,.720,BOS,21.2,.756,0,1
DET,16.9,.476,CLE,31.7,.805,-1,0
DEN,19.0,.659,LAL,24.4,.793,-1,0
ATL,18.2,.573,CLE,31.7,.805,-1,0
BOS,19.3,.610,LAL,21.9,.695,0,0
OKC,25.9,.610,LAL,21.9,.695,-1,0
SAS,23.7,.610,DAL,18.2,.671,-1,1
MIL,20.7,.561,ATL,18.4,.646,-1,0
UTA,21.3,.646,DEN,22.2,.646,-1,1
UTA,21.3,.646,LAL,21.9,.695,-1,0
MIA,17.9,.573,BOS,19.3,.610,-1,0
BOS,19.3,.610,CLE,18.9,.744,0,1
CHI,17.6,.500,CLE,18.9,.744,0,0
SAS,23.7,.610,PHO,15.6,.659,-1,0
CHA,31.1,.537,ORL,17.1,.720,-1,0
POR,18.2,.610,PHO,15.6,.659,1,0
BOS,19.3,.610,ORL,17.1,.720,-1,1
ATL,18.4,.646,ORL,17.1,.720,-1,0
PHO,15.6,.659,LAL,21.9,.695,-1,0
