tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
DAL,52.0,.732,SAS,46.4,.768,0,1
SAC,61.9,.537,SAS,46.4,.768,-1,0
PHO,56.7,.659,DAL,52.0,.732,0,0
MIA,47.8,.634,DET,62.9,.780,-1,1
WAS,61.1,.512,CLE,47.9,.610,1,0
CHI,55.0,.500,MIA,47.8,.634,-1,0
BRK,54.9,.598,MIA,47.8,.634,1,0
DEN,65.2,.537,LAC,60.0,.573,-1,0
MEM,54.4,.598,DAL,52.0,.732,-1,0
LAL,64.4,.549,PHO,56.7,.659,-1,0
LAC,60.0,.573,PHO,56.7,.659,0,0
MIA,47.8,.634,DAL,52.0,.732,-1,1
MIL,46.3,.488,DET,62.9,.780,-1,0
CLE,47.9,.610,DET,62.9,.780,-1,0
IND,55.8,.500,BRK,54.9,.598,1,0
