tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
SAS,65.2,.683,UTA,69.0,.756,-1,0
IND,56.9,.707,CHI,62.9,.756,0,0
NYK,46.5,.524,MIA,59.8,.671,0,1
POR,54.3,.561,LAL,65.3,.744,0,0
CHI,62.9,.756,UTA,69.0,.756,-1,1
LAL,65.3,.744,OKC,60.7,.744,-1,1
MIN,58.2,.549,OKC,60.7,.744,-1,0
SAS,65.2,.683,PHO,57.5,.683,-1,1
NYK,46.5,.524,IND,56.9,.707,-1,0
BRK,57.2,.524,CHI,62.9,.756,-1,0
HOU,62.2,.500,UTA,69.0,.756,-1,0
ATL,57.1,.610,CHA,57.0,.622,1,0
CLE,54.3,.573,IND,56.9,.707,0,0
LAL,65.3,.744,UTA,69.0,.756,1,0
CHA,57.0,.622,CHI,62.9,.756,-1,0
