tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
HOU,39.2,.561,DAL,41.4,.646,-1,0
OKC,53.4,.537,DEN,58.7,.659,-1,0
MIL,34.8,.512,ATL,58.1,.610,0,0
DET,38.1,.659,LAL,60.5,.756,-1,0
SAS,50.3,.378,LAL,60.5,.756,-1,0
DAL,41.4,.646,DEN,58.7,.659,0,1
NYK,55.4,.463,BOS,66.9,.695,-1,0
CLE,50.0,.512,CHI,60.0,.610,0,0
DAL,41.4,.646,LAL,60.5,.756,-1,0
UTA,57.7,.573,LAL,60.5,.756,-1,0
ATL,58.1,.610,BOS,66.9,.695,-1,0
DET,38.1,.659,BOS,66.9,.695,0,1
UTA,57.7,.573,POR,43.9,.646,1,1
WAS,52.1,.463,DET,38.1,.659,-1,0
CHI,60.0,.610,DET,38.1,.659,-1,0
