tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
BRK,54.6,.512,DET,56.9,.561,1,0
UTA,53.8,.500,DEN,60.3,.634,-1,0
POR,55.2,.512,LAL,63.4,.756,-1,0
PHI,60.8,.707,BOS,64.8,.768,0,0
WAS,50.7,.488,PHI,60.8,.707,-1,0
LAL,63.4,.756,BOS,64.8,.768,0,1
CLE,51.7,.439,BOS,64.8,.768,-1,0
UTA,53.8,.500,HOU,55.9,.585,0,1
DET,56.9,.561,BOS,64.8,.768,-1,0
CHI,60.5,.463,MIL,59.8,.720,0,0
SAS,57.1,.500,DEN,60.3,.634,0,0
PHI,60.8,.707,MIL,59.8,.720,0,1
POR,55.2,.512,DAL,57.0,.537,-1,1
DEN,60.3,.634,LAL,63.4,.756,-1,0
PHO,56.2,.439,LAL,63.4,.756,-1,0
