tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
ATL,52.1,.451,BOS,62.6,.805,-1,0
ORL,53.3,.634,DET,60.2,.720,0,0
SAS,65.6,.683,NOP,44.0,.683,0,1
UTA,62.8,.659,LAL,68.3,.695,-1,0
DAL,54.7,.622,NOP,44.0,.683,0,0
WAS,59.3,.524,CLE,60.3,.549,0,0
TOR,64.6,.500,ORL,53.3,.634,-1,0
LAL,68.3,.695,BOS,62.6,.805,-1,0
CLE,60.3,.549,BOS,62.6,.805,0,0
UTA,62.8,.659,HOU,41.9,.671,1,1
DET,60.2,.720,BOS,62.6,.805,-1,0
PHO,48.6,.671,SAS,65.6,.683,1,0
SAS,65.6,.683,LAL,68.3,.695,0,0
DEN,63.2,.610,LAL,68.3,.695,-1,0
PHI,51.9,.488,DET,60.2,.720,0,0
