tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
HOU,27.3,.671,OKC,20.4,.671,-1,0
IND,19.4,.500,NYK,20.8,.732,-1,0
LAL,17.1,.476,PHO,25.9,.756,-1,0
CHA,0,.537,NYK,20.8,.732,-1,0
CLE,22.1,.659,CHI,29.7,.695,1,0
UTA,26.2,.573,OKC,20.4,.671,0,0
BRK,21.2,.524,CLE,22.1,.659,0,0
CHI,29.7,.695,NYK,20.8,.732,-1,1
CHI,29.7,.695,PHO,25.9,.756,0,1
SAS,24.2,.598,POR,20.7,.622,0,1
LAC,19.6,.500,HOU,27.3,.671,-1,0
OKC,20.4,.671,PHO,25.9,.756,1,0
CHA,0,.537,BOS,19.2,.585,-1,1
ATL,24.3,.524,CHI,29.7,.695,0,0
SAS,24.2,.598,PHO,25.9,.756,-1,0
