tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
BRK,56.5,.573,DET,54.2,.659,-1,0
MEM,59.7,.610,SAS,61.3,.695,1,0
DET,54.2,.659,LAL,65.9,.683,1,1
MIA,52.8,.512,IND,55.7,.744,-1,0
MIL,53.5,.500,DET,54.2,.659,0,0
LAL,65.9,.683,SAS,61.3,.695,-1,1
NYK,52.9,.476,BRK,56.5,.573,-1,0
NOP,52.9,.500,MIA,52.8,.512,-1,0
HOU,51.8,.549,LAL,65.9,.683,0,0
DAL,64.2,.634,SAC,60.5,.671,1,0
DEN,54.2,.524,MIN,66.9,.707,0,0
LAL,65.9,.683,MIN,66.9,.707,1,1
SAC,60.5,.671,MIN,66.9,.707,-1,0
BOS,52.4,.439,IND,55.7,.744,-1,0
DET,54.2,.659,IND,55.7,.744,0,1
