tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
BOS,53.1,.610,LAL,58.6,.695,0,0
OKC,60.5,.610,LAL,58.6,.695,-1,0
SAS,58.4,.610,DAL,49.1,.671,-1,1
MIL,53.1,.561,ATL,47.2,.646,-1,0
UTA,54.9,.646,DEN,59.4,.646,-1,1
UTA,54.9,.646,LAL,58.6,.695,-1,0
MIA,51.7,.573,BOS,53.1,.610,-1,0
BOS,53.1,.610,CLE,51.4,.744,0,1
CHI,44.0,.500,CLE,51.4,.744,0,0
SAS,58.4,.610,PHO,46.1,.659,-1,0
CHA,57.3,.537,ORL,46.7,.720,-1,0
POR,45.7,.610,PHO,46.1,.659,1,0
BOS,53.1,.610,ORL,46.7,.720,-1,1
ATL,47.2,.646,ORL,46.7,.720,-1,0
PHO,46.1,.659,LAL,58.6,.695,-1,0
