tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
DEN,56.6,.573,HOU,59.3,.622,0,0
ATL,59.2,.610,BOS,66.0,.817,-1,0
MIL,56.8,.695,BOS,66.0,.817,-1,0
HOU,59.3,.622,BOS,66.0,.817,-1,0
DAL,57.0,.537,LAL,67.1,.756,-1,0
HOU,59.3,.622,LAL,67.1,.756,-1,1
UTA,58.0,.512,DAL,57.0,.537,-1,0
WAS,54.7,.476,PHI,60.9,.659,0,0
SAC,50.1,.451,HOU,59.3,.622,-1,0
CHI,52.1,.366,BOS,66.0,.817,-1,0
BRK,55.4,.476,MIL,56.8,.695,-1,0
DET,57.1,.561,ATL,59.2,.610,-1,0
PHI,60.9,.659,MIL,56.8,.695,-1,0
SAS,53.4,.427,LAL,67.1,.756,-1,0
POR,58.0,.488,DEN,56.6,.573,-1,0
