tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
DEN,66.9,.463,UTA,63.1,.549,0,0
ATL,53.6,.488,MIL,56.9,.610,0,0
DAL,58.4,.524,LAL,60.4,.659,1,0
NYK,58.6,.573,BOS,63.4,.756,0,0
WAS,48.5,.427,BOS,63.4,.756,-1,0
MIL,56.9,.610,BOS,63.4,.756,-1,0
BRK,50.2,.549,PHI,62.0,.634,0,1
SAC,50.0,.463,LAL,60.4,.659,-1,0
PHO,56.0,.500,UTA,63.1,.549,-1,1
LAL,60.4,.659,BOS,63.4,.756,1,0
PHO,56.0,.500,POR,54.7,.585,-1,1
NYK,58.6,.573,DET,56.9,.598,-1,1
BRK,50.2,.549,MIL,56.9,.610,-1,0
OKC,55.7,.512,DAL,58.4,.524,1,0
PHO,56.0,.500,LAL,60.4,.659,0,0
