tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
OKC,54.7,.476,LAL,63.3,.793,-1,0
OKC,54.7,.476,HOU,54.9,.512,1,1
MIL,58.4,.610,BOS,68.1,.720,0,0
GSW,54.4,.512,LAL,63.3,.793,-1,0
IND,48.0,.500,ATL,60.8,.695,0,0
GSW,54.4,.512,UTA,52.9,.537,-1,1
CHI,57.4,.488,BOS,68.1,.720,-1,0
HOU,54.9,.512,POR,56.3,.598,-1,1
DET,54.8,.634,BOS,68.1,.720,-1,0
DET,54.8,.634,ATL,60.8,.695,0,1
OKC,54.7,.476,DAL,60.2,.671,-1,1
PHI,60.4,.549,MIL,58.4,.610,1,0
WAS,56.3,.512,DET,54.8,.634,0,0
DEN,57.1,.451,LAL,63.3,.793,-1,0
BOS,68.1,.720,LAL,63.3,.793,-1,0
