tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
HOU,64.3,.573,ORL,66.9,.695,-1,1
CHI,58.7,.573,CHA,54.1,.610,0,1
IND,55.7,.634,NYK,51.5,.671,-1,1
LAL,56.7,.585,SAS,61.7,.756,-1,0
HOU,64.3,.573,PHO,64.3,.720,1,1
LAL,56.7,.585,OKC,63.3,.695,1,1
HOU,64.3,.573,SAS,61.7,.756,-1,1
ATL,51.3,.512,IND,55.7,.634,-1,0
POR,62.6,.537,PHO,64.3,.720,-1,0
HOU,64.3,.573,UTA,67.0,.732,-1,1
IND,55.7,.634,ORL,66.9,.695,0,0
DEN,51.7,.500,SAS,61.7,.756,-1,0
BOS,51.7,.427,ORL,66.9,.695,-1,0
CHI,58.7,.573,ORL,66.9,.695,-1,0
CLE,56.1,.524,NYK,51.5,.671,0,0
