tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
HOU,62.5,.622,DAL,60.4,.707,0,0
DEN,52.6,.598,SAS,67.3,.720,0,0
DET,53.6,.659,MIA,65.6,.720,1,1
OKC,58.3,.634,SAS,67.3,.720,0,0
IND,58.1,.537,DET,53.6,.659,0,0
WAS,59.8,.549,CHI,48.0,.573,1,1
WAS,59.8,.549,MIA,65.6,.720,-1,0
SAS,67.3,.720,PHO,70.3,.756,1,1
PHI,53.5,.524,DET,53.6,.659,-1,0
DET,53.6,.659,SAS,67.3,.720,0,0
BRK,60.6,.512,MIA,65.6,.720,-1,0
DAL,60.4,.707,PHO,70.3,.756,-1,0
IND,58.1,.537,BOS,55.7,.549,1,1
MEM,55.9,.549,PHO,70.3,.756,0,0
SAC,60.8,.610,OKC,58.3,.634,-1,0
