tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
DAL,64.4,.598,SAS,60.7,.756,-1,0
OKC,74.1,.720,SAS,60.7,.756,1,0
BRK,55.4,.537,MIA,70.3,.659,0,0
WAS,53.7,.537,CHI,52.8,.585,1,1
POR,58.1,.659,HOU,63.9,.659,-1,1
POR,58.1,.659,SAS,60.7,.756,1,0
ATL,52.2,.463,IND,52.3,.683,1,0
CHA,54.1,.524,MIA,70.3,.659,-1,0
MIA,70.3,.659,IND,52.3,.683,-1,1
MEM,56.5,.610,OKC,74.1,.720,0,0
LAC,68.0,.695,OKC,74.1,.720,1,0
BRK,55.4,.537,TOR,54.7,.585,0,1
GSW,60.2,.622,LAC,68.0,.695,1,0
MIA,70.3,.659,SAS,60.7,.756,-1,0
WAS,53.7,.537,IND,52.3,.683,-1,0
