tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
UTA,58.8,.646,SAS,60.7,.671,1,1
GSW,56.3,.610,PHO,64.3,.683,-1,0
NYK,54.2,.695,HOU,55.6,.707,-1,0
IND,57.5,.573,ORL,62.8,.610,0,1
PHO,64.3,.683,HOU,55.6,.707,0,0
IND,57.5,.573,NYK,54.2,.695,-1,0
DEN,51.1,.512,UTA,58.8,.646,-1,0
CLE,59.5,.573,CHI,58.4,.671,1,0
POR,55.6,.573,HOU,55.6,.707,-1,0
MIA,52.8,.512,ATL,60.1,.695,-1,0
DEN,51.1,.512,OKC,61.5,.768,0,1
CHI,58.4,.671,NYK,54.2,.695,-1,0
BRK,58.1,.549,NYK,54.2,.695,1,0
IND,57.5,.573,ATL,60.1,.695,-1,1
UTA,58.8,.646,HOU,55.6,.707,0,0
