tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
HOU,23.0,.549,OKC,28.3,.732,-1,0
BOS,19.2,.506,NYK,24.8,.659,-1,0
CHI,17.1,.549,BRK,21.9,.598,1,1
IND,23.9,.605,NYK,24.8,.659,0,1
CHI,17.1,.549,MIA,20.0,.805,0,0
LAL,23.0,.549,SAS,24.4,.707,-1,0
SAS,24.4,.707,MIA,20.0,.805,-1,0
ATL,19.8,.537,IND,23.9,.605,0,0
MEM,19.5,.683,SAS,24.4,.707,0,0
MEM,19.5,.683,LAC,22.4,.683,-1,1
GSW,21.3,.573,DEN,18.5,.695,-1,1
GSW,21.3,.573,SAS,24.4,.707,0,0
IND,23.9,.605,MIA,20.0,.805,1,0
MIL,20.7,.463,MIA,20.0,.805,-1,0
MEM,19.5,.683,OKC,28.3,.732,1,1
