tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
UTA,59.8,.622,SAS,71.6,.707,0,0
GSW,53.3,.512,UTA,59.8,.622,0,0
ORL,53.6,.488,DET,57.5,.646,-1,0
LAL,57.7,.512,PHO,67.7,.744,-1,0
WAS,60.7,.500,CLE,59.0,.610,-1,0
SAS,71.6,.707,PHO,67.7,.744,1,1
MIA,67.3,.537,CHI,53.9,.598,-1,0
DEN,59.6,.549,SAS,71.6,.707,-1,0
BRK,56.0,.500,CLE,59.0,.610,-1,0
UTA,59.8,.622,HOU,64.1,.634,1,1
BRK,56.0,.500,TOR,59.9,.573,0,1
CLE,59.0,.610,SAS,71.6,.707,1,0
CLE,59.0,.610,DET,57.5,.646,-1,1
CHI,53.9,.598,DET,57.5,.646,1,0
GSW,53.3,.512,DAL,66.5,.817,1,1
