tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
DAL,66.5,.732,SAS,61.2,.732,0,0
BRK,57.4,.598,DET,57.0,.610,-1,1
ORL,58.8,.512,DET,57.0,.610,-1,0
BRK,57.4,.598,SAS,61.2,.732,0,0
LAL,68.1,.610,SAS,61.2,.732,-1,0
LAL,68.1,.610,MIN,59.6,.622,0,1
UTA,63.8,.573,SAC,58.9,.720,-1,0
NOP,52.5,.573,PHI,54.3,.585,1,0
MIL,63.8,.512,BRK,57.4,.598,0,0
SAC,58.9,.720,DAL,66.5,.732,1,0
BOS,52.5,.537,BRK,57.4,.598,-1,0
PHI,54.3,.585,DET,57.0,.610,0,0
PHO,57.6,.537,SAS,61.2,.732,1,0
BOS,52.5,.537,IND,58.3,.585,0,1
POR,58.9,.610,DAL,66.5,.732,0,0
