tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
UTA,26.0,.671,SAS,29.4,.720,-1,1
HOU,25.5,.585,OKC,22.6,.780,-1,0
NYK,20.9,.573,CLE,25.2,.573,-1,1
DET,20.9,.561,ORL,26.4,.732,-1,0
OKC,22.6,.780,CHI,29.4,.878,0,0
ATL,18.9,.561,ORL,26.4,.732,0,0
MIA,22.7,.512,CHI,29.4,.878,-1,0
ATL,18.9,.561,IND,20.1,.634,-1,1
UTA,26.0,.671,OKC,22.6,.780,-1,0
SAC,19.2,.476,OKC,22.6,.780,-1,0
ORL,26.4,.732,CHI,29.4,.878,-1,0
PHO,24.8,.500,SAS,29.4,.720,-1,0
HOU,25.5,.585,LAL,22.1,.646,1,1
POR,24.7,.537,UTA,26.0,.671,-1,0
NYK,20.9,.573,CHI,29.4,.878,-1,0
