tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
NYK,51.4,.695,MIA,57.1,.744,1,0
POR,59.7,.598,LAL,61.2,.683,1,0
LAC,49.8,.439,UTA,69.8,.780,-1,0
WAS,58.2,.537,CHI,69.3,.841,-1,0
CHA,56.5,.659,NYK,51.4,.695,1,0
MIA,57.1,.744,CHI,69.3,.841,0,0
MIN,54.9,.488,HOU,65.6,.695,-1,0
PHO,58.8,.488,OKC,60.8,.695,0,0
UTA,69.8,.780,CHI,69.3,.841,0,0
OKC,60.8,.695,HOU,65.6,.695,-1,0
HOU,65.6,.695,UTA,69.8,.780,0,0
ORL,57.0,.549,MIA,57.1,.744,0,0
DET,58.0,.659,ATL,58.5,.683,1,0
LAL,61.2,.683,UTA,69.8,.780,-1,0
ATL,58.5,.683,CHI,69.3,.841,-1,0
