tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
NYK,50.7,.540,MIA,60.4,.660,0,1
PHI,56.2,.560,ORL,54.2,.660,1,1
NYK,50.7,.540,ATL,53.4,.620,-1,1
LAL,62.3,.620,SAS,62.6,.740,1,0
MIN,53.1,.500,SAS,62.6,.740,0,0
SAC,52.2,.540,UTA,65.3,.740,-1,0
MIL,53.1,.560,IND,57.0,.660,-1,0
POR,54.1,.700,SAS,62.6,.740,-1,0
NYK,50.7,.540,IND,57.0,.660,-1,1
PHO,60.8,.540,POR,54.1,.700,-1,0
PHI,56.2,.560,IND,57.0,.660,1,0
HOU,63.0,.620,LAL,62.3,.620,-1,0
DET,57.9,.580,ATL,53.4,.620,1,0
NYK,50.7,.540,SAS,62.6,.740,0,0
POR,54.1,.700,UTA,65.3,.740,-1,1
