tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
UTA,22.8,.545,SAS,22.5,.758,-1,0
NYK,21.1,.545,MIA,30.7,.697,-1,0
IND,19.3,.636,MIA,30.7,.697,-1,0
LAC,27.0,.606,SAS,22.5,.758,-1,0
PHI,20.2,.530,CHI,23.0,.758,-1,1
BOS,20.4,.591,MIA,30.7,.697,1,0
ORL,24.2,.561,IND,19.3,.636,1,0
PHI,20.2,.530,BOS,20.4,.591,1,0
BOS,20.4,.591,ATL,21.1,.606,1,1
LAL,22.9,.621,OKC,26.2,.712,-1,0
LAC,27.0,.606,MEM,18.4,.621,1,1
DAL,21.7,.545,OKC,26.2,.712,-1,0
OKC,26.2,.712,SAS,22.5,.758,-1,1
DEN,21.9,.576,LAL,22.9,.621,-1,0
MIA,30.7,.697,OKC,26.2,.712,0,1
