tm1,tm1PER,tm1winPerc,tm2,tm2PER,tm2winPerc,seasonSeries,outcome
IND,17.8,.451,CHI,23.5,.756,-1,0
MEM,22.6,.561,SAS,21.9,.744,0,1
BOS,20.6,.683,MIA,27.3,.707,1,0
PHI,18.9,.500,MIA,27.3,.707,-1,0
NYK,22.7,.512,BOS,20.6,.683,-1,0
DAL,23.4,.695,MIA,27.3,.707,1,1
DAL,23.4,.695,LAL,23.9,.695,-1,1
ATL,20.7,.537,ORL,26.1,.634,1,1
MIA,27.3,.707,CHI,23.5,.756,-1,1
DEN,21.2,.610,OKC,23.6,.671,-1,0
MEM,22.6,.561,OKC,23.6,.671,1,0
NOP,23.7,.561,LAL,23.9,.695,-1,0
OKC,23.6,.671,DAL,23.4,.695,-1,0
ATL,20.7,.537,CHI,23.5,.756,-1,0
POR,21.5,.585,DAL,23.4,.695,0,0
