team2Score,team1Score,team1,team2
103,95,Atlanta Hawks,Boston Celtics
121,108,Denver Nuggets,Phoenix Suns
107,118,New York Knicks,New Jersey Nets
97,108,Portland Trail Blazers,Seattle SuperSonics
113,99,Phoenix Suns,Denver Nuggets
105,99,New Jersey Nets,New York Knicks
95,93,Boston Celtics,Atlanta Hawks
105,96,Seattle SuperSonics,Portland Trail Blazers
98,79,Atlanta Hawks,Boston Celtics
118,97,Portland Trail Blazers,Los Angeles Lakers
112,102,New York Knicks,Philadelphia 76ers
112,117,Denver Nuggets,Phoenix Suns
112,106,Portland Trail Blazers,Los Angeles Lakers
152,133,Denver Nuggets,San Antonio Spurs
95,116,Milwaukee Bucks,Boston Celtics
98,91,New York Knicks,Philadelphia 76ers
126,109,Denver Nuggets,San Antonio Spurs
91,95,Milwaukee Bucks,Boston Celtics
126,127,San Antonio Spurs,Denver Nuggets
109,115,Los Angeles Lakers,Portland Trail Blazers
105,107,Philadelphia 76ers,New York Knicks
107,99,Boston Celtics,Milwaukee Bucks
102,105,Philadelphia 76ers,New York Knicks
108,95,Los Angeles Lakers,Portland Trail Blazers
124,114,San Antonio Spurs,Denver Nuggets
107,93,Boston Celtics,Milwaukee Bucks
116,108,Portland Trail Blazers,Los Angeles Lakers
145,105,Denver Nuggets,San Antonio Spurs
119,107,San Antonio Spurs,Los Angeles Lakers
111,109,Milwaukee Bucks,Philadelphia 76ers
113,122,San Antonio Spurs,Los Angeles Lakers
87,81,Milwaukee Bucks,Philadelphia 76ers
100,113,Los Angeles Lakers,San Antonio Spurs
96,104,Philadelphia 76ers,Milwaukee Bucks
100,94,Philadelphia 76ers,Milwaukee Bucks
121,129,Los Angeles Lakers,San Antonio Spurs
112,117,San Antonio Spurs,Los Angeles Lakers
115,103,Milwaukee Bucks,Philadelphia 76ers
100,101,Los Angeles Lakers,San Antonio Spurs
113,107,Los Angeles Lakers,Philadelphia 76ers
103,93,Los Angeles Lakers,Philadelphia 76ers
94,111,Philadelphia 76ers,Los Angeles Lakers
108,115,Philadelphia 76ers,Los Angeles Lakers
