team2Score,team1Score,team1,team2
126,85,New York Knicks,Chicago Bulls
94,92,Houston Rockets,Los Angeles Lakers
90,99,Philadelphia 76ers,Milwaukee Bucks
90,129,Utah Jazz,Phoenix Suns
130,121,Golden State Warriors,San Antonio Spurs
127,120,Indiana Pacers,Boston Celtics
98,103,Atlanta Hawks,Detroit Pistons
110,102,Seattle SuperSonics,Portland Trail Blazers
109,98,Houston Rockets,Los Angeles Lakers
112,116,Philadelphia 76ers,Milwaukee Bucks
102,92,Utah Jazz,Phoenix Suns
98,111,Golden State Warriors,San Antonio Spurs
118,130,Indiana Pacers,Boston Celtics
89,79,New York Knicks,Chicago Bulls
101,88,Atlanta Hawks,Detroit Pistons
115,106,Seattle SuperSonics,Portland Trail Blazers
91,103,Detroit Pistons,Atlanta Hawks
90,94,Los Angeles Lakers,Houston Rockets
94,103,Chicago Bulls,New York Knicks
121,100,Milwaukee Bucks,Philadelphia 76ers
102,99,Portland Trail Blazers,Seattle SuperSonics
107,98,Phoenix Suns,Utah Jazz
109,106,San Antonio Spurs,Golden State Warriors
105,112,Boston Celtics,Indiana Pacers
123,111,Detroit Pistons,Atlanta Hawks
101,89,Portland Trail Blazers,Seattle SuperSonics
101,93,Phoenix Suns,Utah Jazz
110,97,San Antonio Spurs,Golden State Warriors
116,113,Boston Celtics,Indiana Pacers
105,92,Philadelphia 76ers,Chicago Bulls
119,107,Seattle SuperSonics,Portland Trail Blazers
124,121,Indiana Pacers,Boston Celtics
113,81,Atlanta Hawks,Detroit Pistons
126,116,Golden State Warriors,Los Angeles Lakers
112,100,Philadelphia 76ers,Chicago Bulls
75,86,Detroit Pistons,Boston Celtics
117,97,Utah Jazz,Portland Trail Blazers
124,125,Golden State Warriors,Los Angeles Lakers
109,103,Detroit Pistons,Boston Celtics
118,116,Utah Jazz,Portland Trail Blazers
112,115,Los Angeles Lakers,Golden State Warriors
99,97,Chicago Bulls,Philadelphia 76ers
83,115,Boston Celtics,Detroit Pistons
107,101,Portland Trail Blazers,Utah Jazz
107,123,Los Angeles Lakers,Golden State Warriors
85,101,Chicago Bulls,Philadelphia 76ers
101,104,Portland Trail Blazers,Utah Jazz
104,97,Boston Celtics,Detroit Pistons
100,95,Philadelphia 76ers,Chicago Bulls
124,119,Golden State Warriors,Los Angeles Lakers
103,96,Utah Jazz,Portland Trail Blazers
111,116,Detroit Pistons,Boston Celtics
117,113,Boston Celtics,Detroit Pistons
106,111,Los Angeles Lakers,Portland Trail Blazers
94,83,Detroit Pistons,Chicago Bulls
105,97,Detroit Pistons,Chicago Bulls
109,98,Los Angeles Lakers,Portland Trail Blazers
106,92,Portland Trail Blazers,Los Angeles Lakers
107,113,Chicago Bulls,Detroit Pistons
116,95,Portland Trail Blazers,Los Angeles Lakers
94,115,Chicago Bulls,Detroit Pistons
95,84,Los Angeles Lakers,Portland Trail Blazers
91,90,Portland Trail Blazers,Los Angeles Lakers
91,93,Los Angeles Lakers,Chicago Bulls
107,86,Los Angeles Lakers,Chicago Bulls
96,104,Chicago Bulls,Los Angeles Lakers
82,97,Chicago Bulls,Los Angeles Lakers
101,108,Chicago Bulls,Los Angeles Lakers
