team2Score,team1Score,team1,team2
96,91,Miami Heat,Chicago Bulls
100,92,Orlando Magic,Detroit Pistons
84,75,Utah Jazz,Houston Rockets
91,96,New Jersey Nets,Toronto Raptors
97,82,Washington Wizards,Cleveland Cavaliers
85,97,Golden State Warriors,Dallas Mavericks
95,87,Los Angeles Lakers,Phoenix Suns
89,95,Denver Nuggets,San Antonio Spurs
98,90,Orlando Magic,Detroit Pistons
98,90,Utah Jazz,Houston Rockets
107,89,Miami Heat,Chicago Bulls
126,98,Los Angeles Lakers,Phoenix Suns
89,83,New Jersey Nets,Toronto Raptors
109,102,Washington Wizards,Cleveland Cavaliers
112,99,Golden State Warriors,Dallas Mavericks
97,88,Denver Nuggets,San Antonio Spurs
95,89,Phoenix Suns,Los Angeles Lakers
77,93,Detroit Pistons,Orlando Magic
81,67,Houston Rockets,Utah Jazz
109,91,Dallas Mavericks,Golden State Warriors
96,104,Chicago Bulls,Miami Heat
102,89,Toronto Raptors,New Jersey Nets
91,96,San Antonio Spurs,Denver Nuggets
93,97,Detroit Pistons,Orlando Magic
98,85,Houston Rockets,Utah Jazz
92,98,Cleveland Cavaliers,Washington Wizards
103,99,Dallas Mavericks,Golden State Warriors
100,113,Phoenix Suns,Los Angeles Lakers
79,92,Chicago Bulls,Miami Heat
102,81,Toronto Raptors,New Jersey Nets
89,96,San Antonio Spurs,Denver Nuggets
96,92,Utah Jazz,Houston Rockets
90,97,Cleveland Cavaliers,Washington Wizards
118,112,Golden State Warriors,Dallas Mavericks
98,96,New Jersey Nets,Toronto Raptors
119,110,Los Angeles Lakers,Phoenix Suns
93,78,Denver Nuggets,San Antonio Spurs
111,86,Dallas Mavericks,Golden State Warriors
94,82,Houston Rockets,Utah Jazz
98,97,Toronto Raptors,New Jersey Nets
95,69,Chicago Bulls,Detroit Pistons
99,103,Utah Jazz,Houston Rockets
81,77,New Jersey Nets,Cleveland Cavaliers
106,111,San Antonio Spurs,Phoenix Suns
108,87,Chicago Bulls,Detroit Pistons
116,112,Golden State Warriors,Utah Jazz
102,92,New Jersey Nets,Cleveland Cavaliers
101,81,San Antonio Spurs,Phoenix Suns
127,117,Golden State Warriors,Utah Jazz
74,81,Detroit Pistons,Chicago Bulls
125,105,Utah Jazz,Golden State Warriors
96,85,Cleveland Cavaliers,New Jersey Nets
108,101,Phoenix Suns,San Antonio Spurs
102,87,Detroit Pistons,Chicago Bulls
101,115,Utah Jazz,Golden State Warriors
85,87,Cleveland Cavaliers,New Jersey Nets
98,104,Phoenix Suns,San Antonio Spurs
92,108,Chicago Bulls,Detroit Pistons
100,87,Golden State Warriors,Utah Jazz
72,83,New Jersey Nets,Cleveland Cavaliers
85,88,San Antonio Spurs,Phoenix Suns
85,95,Detroit Pistons,Chicago Bulls
72,88,Cleveland Cavaliers,New Jersey Nets
114,106,Phoenix Suns,San Antonio Spurs
108,100,Utah Jazz,San Antonio Spurs
79,76,Cleveland Cavaliers,Detroit Pistons
105,96,Utah Jazz,San Antonio Spurs
79,76,Cleveland Cavaliers,Detroit Pistons
109,83,San Antonio Spurs,Utah Jazz
88,82,Detroit Pistons,Cleveland Cavaliers
79,91,San Antonio Spurs,Utah Jazz
91,87,Detroit Pistons,Cleveland Cavaliers
109,84,Utah Jazz,San Antonio Spurs
107,109,Cleveland Cavaliers,Detroit Pistons
98,82,Detroit Pistons,Cleveland Cavaliers
85,76,Cleveland Cavaliers,San Antonio Spurs
103,92,Cleveland Cavaliers,San Antonio Spurs
72,75,San Antonio Spurs,Cleveland Cavaliers
82,83,San Antonio Spurs,Cleveland Cavaliers
