team2Score,team1Score,team1,team2
112,95,Minnesota Timberwolves,Houston Rockets
99,64,Orlando Magic,Miami Heat
109,99,Charlotte Hornets,New York Knicks
106,86,Los Angeles Clippers,Utah Jazz
89,75,Detroit Pistons,Atlanta Hawks
98,86,Washington Bullets,Chicago Bulls
95,77,Portland Trail Blazers,Los Angeles Lakers
101,106,Phoenix Suns,Seattle SuperSonics
96,84,Minnesota Timberwolves,Houston Rockets
100,93,Charlotte Hornets,New York Knicks
105,99,Los Angeles Clippers,Utah Jazz
80,93,Detroit Pistons,Atlanta Hawks
109,104,Washington Bullets,Chicago Bulls
107,93,Portland Trail Blazers,Los Angeles Lakers
104,87,Orlando Magic,Miami Heat
122,78,Phoenix Suns,Seattle SuperSonics
95,104,New York Knicks,Charlotte Hornets
92,104,Utah Jazz,Los Angeles Clippers
99,91,Atlanta Hawks,Detroit Pistons
120,125,Houston Rockets,Minnesota Timberwolves
88,75,Miami Heat,Orlando Magic
110,103,Seattle SuperSonics,Phoenix Suns
98,90,Los Angeles Lakers,Portland Trail Blazers
95,96,Chicago Bulls,Washington Bullets
99,91,Miami Heat,Orlando Magic
115,122,Seattle SuperSonics,Phoenix Suns
82,94,Atlanta Hawks,Detroit Pistons
91,95,Los Angeles Lakers,Portland Trail Blazers
116,92,Phoenix Suns,Seattle SuperSonics
84,79,Detroit Pistons,Atlanta Hawks
91,83,Orlando Magic,Miami Heat
93,77,Los Angeles Lakers,Utah Jazz
112,102,Seattle SuperSonics,Houston Rockets
100,97,Atlanta Hawks,Chicago Bulls
103,101,Los Angeles Lakers,Utah Jazz
101,106,Seattle SuperSonics,Houston Rockets
79,88,New York Knicks,Miami Heat
95,103,Atlanta Hawks,Chicago Bulls
104,84,Utah Jazz,Los Angeles Lakers
88,84,New York Knicks,Miami Heat
93,97,Houston Rockets,Seattle SuperSonics
80,100,Chicago Bulls,Atlanta Hawks
95,110,Utah Jazz,Los Angeles Lakers
80,89,Chicago Bulls,Atlanta Hawks
77,73,Miami Heat,New York Knicks
106,110,Houston Rockets,Seattle SuperSonics
89,76,Miami Heat,New York Knicks
98,93,Los Angeles Lakers,Utah Jazz
107,92,Atlanta Hawks,Chicago Bulls
94,100,Seattle SuperSonics,Houston Rockets
96,81,New York Knicks,Miami Heat
99,96,Houston Rockets,Seattle SuperSonics
90,95,Miami Heat,New York Knicks
96,91,Seattle SuperSonics,Houston Rockets
101,90,New York Knicks,Miami Heat
101,86,Houston Rockets,Utah Jazz
84,77,Miami Heat,Chicago Bulls
104,92,Houston Rockets,Utah Jazz
75,68,Miami Heat,Chicago Bulls
118,100,Utah Jazz,Houston Rockets
74,98,Chicago Bulls,Miami Heat
95,92,Utah Jazz,Houston Rockets
87,80,Chicago Bulls,Miami Heat
96,91,Houston Rockets,Utah Jazz
100,87,Miami Heat,Chicago Bulls
100,103,Utah Jazz,Houston Rockets
84,82,Utah Jazz,Chicago Bulls
97,85,Utah Jazz,Chicago Bulls
104,93,Chicago Bulls,Utah Jazz
78,73,Chicago Bulls,Utah Jazz
88,90,Chicago Bulls,Utah Jazz
90,86,Utah Jazz,Chicago Bulls
