team2Score,team1Score,team1,team2
88,93,Miami Heat,Atlanta Hawks
88,89,Indiana Pacers,Orlando Magic
106,89,Utah Jazz,San Antonio Spurs
106,82,Denver Nuggets,Seattle SuperSonics
104,96,Cleveland Cavaliers,Chicago Bulls
114,104,Portland Trail Blazers,Houston Rockets
91,80,New Jersey Nets,New York Knicks
111,104,Golden State Warriors,Phoenix Suns
104,86,Miami Heat,Atlanta Hawks
101,103,Indiana Pacers,Orlando Magic
84,96,Utah Jazz,San Antonio Spurs
97,87,Denver Nuggets,Seattle SuperSonics
105,96,Cleveland Cavaliers,Chicago Bulls
115,104,Portland Trail Blazers,Houston Rockets
90,81,New Jersey Nets,New York Knicks
117,111,Golden State Warriors,Phoenix Suns
110,93,Seattle SuperSonics,Denver Nuggets
99,86,Orlando Magic,Indiana Pacers
92,95,Chicago Bulls,Cleveland Cavaliers
90,86,Atlanta Hawks,Miami Heat
118,115,Houston Rockets,Portland Trail Blazers
105,72,San Antonio Spurs,Utah Jazz
133,140,Phoenix Suns,Golden State Warriors
93,92,New York Knicks,New Jersey Nets
94,85,Seattle SuperSonics,Denver Nuggets
89,103,Atlanta Hawks,Miami Heat
95,90,San Antonio Spurs,Utah Jazz
92,102,New York Knicks,New Jersey Nets
89,92,Houston Rockets,Portland Trail Blazers
94,98,Denver Nuggets,Seattle SuperSonics
102,91,Miami Heat,Atlanta Hawks
87,91,Phoenix Suns,Houston Rockets
90,86,Chicago Bulls,New York Knicks
85,96,Indiana Pacers,Atlanta Hawks
100,91,Denver Nuggets,Utah Jazz
117,124,Phoenix Suns,Houston Rockets
96,91,Chicago Bulls,New York Knicks
92,69,Indiana Pacers,Atlanta Hawks
104,94,Denver Nuggets,Utah Jazz
104,102,New York Knicks,Chicago Bulls
102,118,Houston Rockets,Phoenix Suns
109,111,Utah Jazz,Denver Nuggets
101,81,Atlanta Hawks,Indiana Pacers
95,83,New York Knicks,Chicago Bulls
83,82,Utah Jazz,Denver Nuggets
102,86,Atlanta Hawks,Indiana Pacers
96,107,Houston Rockets,Phoenix Suns
88,76,Indiana Pacers,Atlanta Hawks
109,86,Phoenix Suns,Houston Rockets
101,109,Denver Nuggets,Utah Jazz
87,86,Chicago Bulls,New York Knicks
94,91,Utah Jazz,Denver Nuggets
98,79,Atlanta Hawks,Indiana Pacers
103,89,Houston Rockets,Phoenix Suns
93,79,New York Knicks,Chicago Bulls
104,94,Phoenix Suns,Houston Rockets
91,81,Denver Nuggets,Utah Jazz
87,77,Chicago Bulls,New York Knicks
100,88,Utah Jazz,Houston Rockets
100,89,Indiana Pacers,New York Knicks
104,99,Utah Jazz,Houston Rockets
89,78,Indiana Pacers,New York Knicks
95,86,Houston Rockets,Utah Jazz
88,68,New York Knicks,Indiana Pacers
78,80,Houston Rockets,Utah Jazz
83,77,New York Knicks,Indiana Pacers
94,83,Utah Jazz,Houston Rockets
86,93,Indiana Pacers,New York Knicks
91,98,New York Knicks,Indiana Pacers
94,90,Indiana Pacers,New York Knicks
85,78,New York Knicks,Houston Rockets
83,91,New York Knicks,Houston Rockets
89,93,Houston Rockets,New York Knicks
91,82,Houston Rockets,New York Knicks
91,84,Houston Rockets,New York Knicks
86,84,New York Knicks,Houston Rockets
90,84,New York Knicks,Houston Rockets
