team2Score,team1Score,team1,team2
82,92,Philadelphia 76ers,Charlotte Hornets
95,85,Detroit Pistons,Miami Heat
70,72,Phoenix Suns,San Antonio Spurs
104,93,Seattle SuperSonics,Utah Jazz
88,85,Milwaukee Bucks,Indiana Pacers
117,107,Sacramento Kings,Los Angeles Lakers
92,88,Toronto Raptors,New York Knicks
91,88,Minnesota Timberwolves,Portland Trail Blazers
108,98,Philadelphia 76ers,Charlotte Hornets
101,87,Seattle SuperSonics,Utah Jazz
84,82,Detroit Pistons,Miami Heat
85,70,Phoenix Suns,San Antonio Spurs
84,83,Toronto Raptors,New York Knicks
86,82,Minnesota Timberwolves,Portland Trail Blazers
91,104,Milwaukee Bucks,Indiana Pacers
113,89,Sacramento Kings,Los Angeles Lakers
81,76,Charlotte Hornets,Philadelphia 76ers
72,91,Miami Heat,Detroit Pistons
96,109,Indiana Pacers,Milwaukee Bucks
101,94,San Antonio Spurs,Phoenix Suns
89,78,Utah Jazz,Seattle SuperSonics
94,87,Portland Trail Blazers,Minnesota Timberwolves
99,91,Los Angeles Lakers,Sacramento Kings
80,87,New York Knicks,Toronto Raptors
100,87,Indiana Pacers,Milwaukee Bucks
105,99,Charlotte Hornets,Philadelphia 76ers
77,85,Portland Trail Blazers,Minnesota Timberwolves
89,78,San Antonio Spurs,Phoenix Suns
101,88,Los Angeles Lakers,Sacramento Kings
104,93,Utah Jazz,Seattle SuperSonics
96,95,Milwaukee Bucks,Indiana Pacers
113,86,Sacramento Kings,Los Angeles Lakers
96,93,Seattle SuperSonics,Utah Jazz
108,91,Philadelphia 76ers,Indiana Pacers
105,77,Phoenix Suns,Los Angeles Lakers
87,83,New York Knicks,Miami Heat
94,75,Utah Jazz,Portland Trail Blazers
103,97,Philadelphia 76ers,Indiana Pacers
76,82,New York Knicks,Miami Heat
103,85,Utah Jazz,Portland Trail Blazers
97,96,Phoenix Suns,Los Angeles Lakers
89,97,Indiana Pacers,Philadelphia 76ers
84,103,Portland Trail Blazers,Utah Jazz
76,77,Miami Heat,New York Knicks
99,105,Los Angeles Lakers,Phoenix Suns
92,90,Indiana Pacers,Philadelphia 76ers
91,83,Miami Heat,New York Knicks
117,98,Los Angeles Lakers,Phoenix Suns
88,85,Portland Trail Blazers,Utah Jazz
86,107,Philadelphia 76ers,Indiana Pacers
87,65,Phoenix Suns,Los Angeles Lakers
81,79,Utah Jazz,Portland Trail Blazers
87,81,New York Knicks,Miami Heat
72,70,Miami Heat,New York Knicks
90,106,Indiana Pacers,Philadelphia 76ers
109,94,Portland Trail Blazers,Los Angeles Lakers
82,83,New York Knicks,Miami Heat
77,106,Portland Trail Blazers,Los Angeles Lakers
102,88,New York Knicks,Indiana Pacers
88,84,New York Knicks,Indiana Pacers
91,93,Los Angeles Lakers,Portland Trail Blazers
98,95,Indiana Pacers,New York Knicks
91,103,Los Angeles Lakers,Portland Trail Blazers
91,89,Indiana Pacers,New York Knicks
88,96,Portland Trail Blazers,Los Angeles Lakers
88,79,New York Knicks,Indiana Pacers
80,93,Indiana Pacers,New York Knicks
103,93,Los Angeles Lakers,Portland Trail Blazers
89,84,Portland Trail Blazers,Los Angeles Lakers
104,87,Indiana Pacers,Los Angeles Lakers
111,104,Indiana Pacers,Los Angeles Lakers
100,91,Los Angeles Lakers,Indiana Pacers
118,120,Los Angeles Lakers,Indiana Pacers
120,87,Los Angeles Lakers,Indiana Pacers
116,111,Indiana Pacers,Los Angeles Lakers
